"C01" "C02" "C03" "C04" "C05" "C06" "C07" "C08" "HA1" "HA2" "HA3" "HA5" "HA6" "HS3" "HS4" "HS5" "HS6" "HS7" "HS8"
"eca-let-7a" 158175.580860097 160889.033295803 214670.194774603 129676.4998132 157568.332908288 151845.590828137 122353.080022847 138075.69782409 174588.969736748 121176.924028006 167055.215980241 146226.731801744 144891.601888168 121309.333072585 98861.4036705216 140707.564547938 142853.606419155 124538.148654892 143752.294609691
"eca-let-7c" 30823.5233670504 36419.0414484005 39866.2512139211 31310.2442666226 37665.0247534178 33054.3664871241 42789.7353843386 35010.0949037077 31906.2501651803 20667.819851344 34847.2500039382 58390.5476959526 31771.2554713815 24189.1969148878 24022.8516967932 30666.0764677013 53317.572493393 28621.4994748162 52316.4372599792
"eca-let-7d" 13263.5497623503 10635.8308142562 16208.8853633661 10834.646729986 11415.7023291564 9780.54599325633 10989.9198695521 12656.8275906895 11438.8561600153 9568.84867069565 11783.569756496 12036.9625445262 13464.9290276392 12249.0878736264 8894.75520239096 11342.3404031651 10286.2050980744 12606.303251465 13815.9130961795
"eca-let-7e" 6963.02667114398 5661.92299132809 10761.5623664819 4617.14729389598 6642.77323130995 4492.99138335919 5142.24118745321 5288.15711022472 5160.85712220875 4951.52880674175 5855.71941711239 4712.55363838345 5776.13909829307 5686.27138704232 4180.44445931294 5363.69526053202 5612.37605193611 5272.76421939603 4610.43776861501
"eca-let-7f" 199197.926943652 172050.343585007 317057.733207489 127241.131671046 166637.792001144 192919.772649035 124181.500504627 115526.407838073 238942.268312614 194253.942561967 220818.253903437 148667.114794061 136274.711425351 160081.535221452 125670.087267555 144120.937313782 153678.632028472 133009.477037932 172098.305525289
"eca-let-7g" 36794.3498410108 43774.1760812266 41830.285376614 28994.816863177 35648.5962806198 38081.8334716865 29925.4548198959 32241.2746475959 45678.4095534557 31555.0226926682 41532.1107295829 39409.2839889441 34957.3465692902 27509.724795754 28851.4007760158 34255.8541144696 45964.495591855 28762.4645271489 46166.9410379163
"eca-miR-1" 16.5885090438213 5.52305754449507 9.80616201059271 14.8498057448411 4.46903473581132 10.7252629003999 14.2925107453534 4.45506074997871 3.38527853211462 4.6204001307077 12.3861179657721 3.25992919091274 6.64114871893426 3.97826822787476 12.4417989860504 6.78480311244851 18.9059828506029 13.4252430793024 6.73759172866494
"eca-miR-100" 27164.7203410726 27320.1986479552 14410.155074566 33102.50159075 30969.5169122253 38982.7555553201 37655.6613458828 16252.0616159223 26568.5122396686 20655.4987843288 27814.8493800775 42345.1762182801 13249.0916942738 32064.8419166705 29334.3687912016 32736.0582172811 46402.0340521118 13940.996167599 36461.9214093265
"eca-miR-101" 59887.6279936405 58823.718881755 63521.5157440451 39068.6966219273 45914.8628757255 56188.7585632866 40443.7218348514 34667.0552259593 62313.6682602669 63924.0058750295 55924.0512106356 36817.6402821684 43403.2274525949 34884.1080008245 38886.2771945831 33124.6423955395 40107.6921902075 35091.3478687834 38117.4439483699
"eca-miR-107a" 12343.9242922335 13357.120167251 12902.8078855092 13151.2164261812 12649.1559162404 12590.5648731611 11684.1275343264 14824.2146455541 12865.7510613016 9861.47401230714 11055.7031772133 11188.0769832125 13795.3261764062 12701.2843621948 12862.5580063059 12797.9890709267 13135.6067991296 12419.4686186114 12932.3260666203
